entry_index,exit_index,side,entry_time,exit_time,entry_price,exit_price,qty,gross_pnl,net_pnl,return_pct,bars_held,exit_reason,entry_confidence,market_regime
3061,3062,LONG,2025-05-04 13:20:00,2025-05-04 13:25:00,95329.36206,95381.01998000001,0.10328045103462491,5.33525327711185,-2.5434084325188833,0.0005418888670155901,1,REGIME_EXIT,0.8404639209754206,RANGING
3244,3256,SHORT,2025-05-05 04:35:00,2025-05-05 05:35:00,94312.33376,94491.99462,0.06945003212308402,-12.477452498261151,-17.722439166648474,-0.0019049561476995479,12,TIME_EXIT,0.8649505099015856,RANGING
3310,3314,LONG,2025-05-05 10:05:00,2025-05-05 10:25:00,94432.48272,94296.33696,0.11314427132489296,-15.404112809173695,-23.945546721453983,-0.0014417259408892457,4,REGIME_EXIT,0.9065962048154625,RANGING
3498,3500,LONG,2025-05-06 01:45:00,2025-05-06 01:55:00,94358.76797999999,94235.84906,0.07079342097877321,-8.701850849815893,-14.042354097193186,-0.0013026761861287758,2,REGIME_EXIT,0.8229047301645056,RANGING
3520,3532,SHORT,2025-05-06 03:35:00,2025-05-06 04:35:00,94372.42174,94469.99022,0.07173575349590224,-6.999148430249991,-12.417849515823663,-0.001033866443194676,12,TIME_EXIT,0.8207123073159032,RANGING
3542,3552,LONG,2025-05-06 05:25:00,2025-05-06 06:15:00,94331.16246,94412.11282437404,0.103192199209356,8.353446126555042,0.5627126615264624,0.0008581508195487128,10,TAKE_PROFIT,0.8206853176908401,RANGING
3562,3564,SHORT,2025-05-06 07:05:00,2025-05-06 07:15:00,94511.99382,94444.85248989257,0.11528065939982743,7.7400968077666334,-0.9731311285198725,0.0007104001026082189,2,TAKE_PROFIT,0.895675886264751,RANGING
3606,3607,LONG,2025-05-06 10:45:00,2025-05-06 10:50:00,94047.20568,93858.46825082864,0.10768241385289594,-20.32370195756246,-28.417356575773184,-0.0020068371814634446,1,STOP_LOSS,0.9110236008483302,RANGING
3722,3724,LONG,2025-05-06 20:25:00,2025-05-06 20:35:00,94845.16524,94585.64007162173,0.07578548899042366,-19.668241790869217,-25.410684275025616,-0.0027363036135954534,2,STOP_LOSS,0.8034448389654726,RANGING
3725,3726,LONG,2025-05-06 20:40:00,2025-05-06 20:45:00,94611.51852,94571.5819,0.07560484017437664,-3.019401772204294,-8.740665000583153,-0.00042211160569789285,1,REGIME_EXIT,0.9168460395981585,RANGING
3839,3844,SHORT,2025-05-07 06:10:00,2025-05-07 06:35:00,96537.58862,96434.918127,0.08616405152613552,8.846505649065547,2.1955884432751303,0.0010635286676171155,5,TAKE_PROFIT,0.8034760514715443,RANGING
3894,3897,SHORT,2025-05-07 10:45:00,2025-05-07 11:00:00,97002.99552,96936.60333717814,0.11391295293724567,7.562929597187437,-1.2739633617269783,0.0006844343565469619,3,TAKE_PROFIT,0.9082099072780115,RANGING
3914,3915,SHORT,2025-05-07 12:25:00,2025-05-07 12:30:00,97059.48422,96997.71566399999,0.10416792193184532,6.434302119251857,-1.65151197987975,0.0006363989722014411,1,TAKE_PROFIT,0.8533381053050696,RANGING
3917,3921,LONG,2025-05-07 12:40:00,2025-05-07 13:00:00,96882.27257999999,96834.42924000001,0.09382745997392458,-4.489019068866765,-11.75939750338546,-0.0004938296628051458,4,REGIME_EXIT,0.8059113506283265,RANGING
4136,4138,SHORT,2025-05-08 06:55:00,2025-05-08 07:05:00,98908.81428,99140.86268863516,0.08548049591081364,-19.835613045447737,-26.60736688634989,-0.0023460842223651194,2,STOP_LOSS,0.844398674996015,RANGING
4205,4207,LONG,2025-05-08 12:40:00,2025-05-08 12:50:00,99277.75158,99390.3890463514,0.08115504660027945,9.141098830685257,2.6919299464762894,0.001134569070700944,2,TAKE_PROFIT,0.8677794905902324,RANGING
4209,4215,LONG,2025-05-08 13:00:00,2025-05-08 13:30:00,99269.84999999999,99380.714881,0.07881150289884216,8.737427890312542,2.4750480623223163,0.0011168031481866437,6,TAKE_PROFIT,0.8045242364548163,RANGING
4224,4225,LONG,2025-05-08 14:15:00,2025-05-08 14:20:00,99145.22507999999,99254.820065,0.052890098869151636,5.796489592214138,1.5991303908688588,0.0011053985193092864,1,TAKE_PROFIT,0.8095540541946873,RANGING
4294,4295,SHORT,2025-05-08 20:05:00,2025-05-08 20:10:00,101431.40966,101410.27799999999,0.04683220230326756,0.9896421761245063,-2.810167004687226,0.00020833448012649508,1,REGIME_EXIT,0.8088687052662055,RANGING
4349,4351,LONG,2025-05-09 00:40:00,2025-05-09 00:50:00,102690.63402,102935.26382900002,0.04108834420788847,10.051433795702836,6.6719027281525065,0.0023822017590462634,2,TAKE_PROFIT,0.8248982696681056,RANGING
4365,4369,SHORT,2025-05-09 02:00:00,2025-05-09 02:20:00,103049.48598000001,102799.83302572985,0.04435840182540275,11.0742060624147,7.421747339238027,0.0024226511359660154,4,TAKE_PROFIT,0.9155138191800037,RANGING
4386,4390,LONG,2025-05-09 03:45:00,2025-05-09 04:05:00,102363.4686,102550.85767802924,0.055771976171821995,10.45105919470659,5.8796684257293075,0.0018306245440108332,4,TAKE_PROFIT,0.86446371755212,RANGING
4400,4402,SHORT,2025-05-09 04:55:00,2025-05-09 05:05:00,102750.4458,102852.96647999999,0.061957653417094576,-6.351940759524048,-11.447422743290545,-0.0009977638461981923,2,REGIME_EXIT,0.8506188571488766,RANGING
4409,4411,SHORT,2025-05-09 05:40:00,2025-05-09 05:50:00,102856.62456,102940.38396,0.06652858675146628,-5.572394509151424,-11.048948162957451,-0.0008143316034170461,2,REGIME_EXIT,0.8011028362360418,RANGING
4505,4506,SHORT,2025-05-09 13:40:00,2025-05-09 13:45:00,103177.66034,103576.9352578698,0.04773725317070696,-19.06028783906385,-23.00824642876891,-0.0038697806923909117,1,STOP_LOSS,0.8667757885250512,RANGING
4535,4536,LONG,2025-05-09 16:10:00,2025-05-09 16:15:00,102498.09552,102810.72667358353,0.03666973041961837,11.464100122682229,8.452652457639001,0.003050116707022369,1,TAKE_PROFIT,0.8432713670154413,RANGING
4545,4546,LONG,2025-05-09 17:00:00,2025-05-09 17:05:00,102467.18934,102695.446802,0.03947814715096113,9.01118167314126,5.771405377344072,0.0022276151368085207,1,TAKE_PROFIT,0.8846487634666058,RANGING
4549,4550,SHORT,2025-05-09 17:20:00,2025-05-09 17:25:00,102948.20624,103017.99948,0.038462995537606987,-2.684457078675097,-5.853287979277578,-0.0006779451779596064,1,REGIME_EXIT,0.8188840625771673,RANGING
